Per Capita Personal Income by County (Dollars)																		
Series ID	Region Name	Region Code	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
PCPI05003	Ashley County, AR	05003	21583	23326	23672	24986	26244	27230	27139	27713	29466	31547	31515	31964	31591	32257	32883	33543
PCPI39007	Ashtabula County, OH	39007	24022	24800	25580	26181	27002	28107	29389	28775	29663	31531	32057	32501	34091	35246	35615	36974
PCPI53003	Asotin County, WA	53003	26505	27619	28207	28730	30698	32713	34732	34734	35750	37016	38269	38500	40311	41740	43260	44848
PCPI22007	Assumption Parish, LA	22007	22410	22849	24051	24679	27113	29330	31436	31995	33574	36202	38780	41139	41792	41612	40418	42787
PCPI48013	Atascosa County, TX	48013	20756	21113	21520	22811	24583	25914	27519	26807	28793	31894	34097	35589	37875	35683	33961	34372
PCPI29005	Atchison County, MO	29005	25370	27439	30961	29567	30479	32992	39210	42778	42329	44640	44004	50754	53551	41536	45624	45975
PCPI20005	Atchison County, KS	20005	22406	22845	24049	25180	26925	28370	30123	29321	29538	32109	30963	33391	33921	33916	34587	35619
PCPI39009	Athens County, OH	39009	20652	21209	21625	21909	22553	23878	24994	26107	27389	28695	29132	29126	30470	31128	31492	32610
PCPI13003	Atkinson County, GA	13003	18855	19682	20728	21591	21132	21179	22892	22325	21833	23635	24268	24833	24906	26178	26581	28070
PCPI34001	Atlantic County, NJ	34001	29986	30739	32298	33739	36770	38395	39352	38400	38964	40744	41664	42201	43244	44053	44771	46557
PCPI40005	Atoka County, OK	40005	17931	18335	18396	19823	20668	22355	22997	24135	25023	26294	27600	28703	29642	30215	30051	31951
PCPI28007	Attala County, MS	28007	22493	21668	21644	22404	23960	25245	27022	27300	28199	30382	30436	31058	31001	31510	32265	33002
PCPI29007	Audrain County, MO	29007	23105	23842	27480	26675	28187	30349	30830	31400	32391	33647	33106	35472	36816	37856	37992	38228
PCPI19009	Audubon County, IA	19009	27023	27161	33384	32790	33863	36534	40460	37339	39590	48787	45836	51381	46956	44346	43351	43884
PCPI39011	Auglaize County, OH	39011	28307	29603	30745	30954	32014	33937	35139	33842	35457	38627	40399	40454	42552	43010	44033	45932
PCPI46003	Aurora County, SD	46003	24776	34514	33401	29179	29600	40973	45301	38473	37478	51148	40445	51528	48131	43178	40292	43282
PCPI48015	Austin County, TX	48015	29023	29725	30682	33580	37452	39482	42626	39004	39332	41248	46698	46055	49177	50887	49060	49262
PCPI01001	Autauga County, AL	01001	24991	26319	27535	28766	29758	31459	32876	32603	33415	34325	35040	35464	36677	38591	39509	40484
PCPI37011	Avery County, NC	37011	22416	22655	23158	24191	23953	26160	26004	26913	27165	28085	29481	29188	31229	32795	33620	34885
PCPI22009	Avoyelles Parish, LA	22009	19941	20649	21910	23379	24272	26433	28271	29692	30540	32844	34933	34899	34842	34658	35131	36626
PCPI08009	Baca County, CO	08009	21933	27329	26976	29247	24742	30830	33021	37836	39036	43689	37534	42446	39606	37496	38757	42019
PCPI13005	Bacon County, GA	13005	19930	20732	21439	21695	21305	22043	23626	23588	24534	26517	26757	27242	28640	29869	31276	32310
PCPI48017	Bailey County, TX	48017	23382	24424	24143	26949	27162	28204	29223	26659	31605	34093	35723	36436	43351	44829	39170	44659
PCPI41001	Baker County, OR	41001	21282	22186	23011	24003	24904	26019	27451	28241	28994	30543	32118	32894	34839	37233	38313	39026
PCPI12003	Baker County, FL	12003	21646	22839	23823	24314	25075	25909	25806	24808	25671	26400	26584	26547	27686	28991	29693	30804
PCPI13007	Baker County, GA	13007	23861	23887	23410	25804	25544	28019	28631	27462	30705	36533	38512	37728	33325	34734	35431	34137
PCPI13009	Baldwin County, GA	13009	23398	23652	23352	23890	24505	24551	25439	25726	26388	27674	27160	27578	29282	30342	31096	32176
PCPI01003	Baldwin County, AL	01003	27402	28050	30338	32292	34784	36051	35751	34698	36282	37804	38166	38212	39561	41412	43004	44079
PCPI21007	Ballard County, KY	21007	24452	25163	26490	27904	27621	29222	30565	31545	30686	33620	33219	36786	35951	35451	35508	36849
PCPI24005	Baltimore County, MD	24005	39485	40284	42202	43980	46519	48610	49751	48155	49123	50321	51710	51536	53497	55215	56829	59130
PCPI24510	Baltimore city, MD	24510	26250	27389	29338	31380	33130	35160	36788	36704	37925	40045	40620	41570	44043	46150	47553	49168
PCPI45009	Bamberg County, SC	45009	19229	20094	21562	22247	24151	24983	25702	25663	26442	27664	27486	27789	29952	30295	31292	31881
PCPI48019	Bandera County, TX	48019	26354	26774	27953	29853	31263	32102	34700	33528	32915	35725	38553	39575	41224	41441	41682	42330
PCPI13011	Banks County, GA	13011	23063	23483	24972	25354	24172	25645	26867	25660	25325	25882	28525	29152	30809	32207	32829	34749
PCPI31007	Banner County, NE	31007	23296	36637	32820	40446	29722	33260	38954	33770	44577	72860	55952	62663	83803	68824	69323	56007
PCPI16005	Bannock County, ID	16005	23302	24297	25594	26436	27650	28799	29381	28706	29178	30212	30981	31874	33022	34659	35652	36987
PCPI26013	Baraga County, MI	26013	20346	21245	22107	22515	23587	24372	26489	25958	26562	27101	28966	29248	29718	30256	30541	31211
PCPI20007	Barber County, KS	20007	25082	29980	28285	30120	32477	32543	38749	34342	38412	43449	47655	48345	46123	38940	38317	39718
PCPI54001	Barbour County, WV	54001	18953	19481	20388	21294	22920	24115	25515	25767	26435	27672	28749	28347	28798	28798	29077	30472
PCPI01005	Barbour County, AL	01005	20280	20904	22825	23865	24728	25537	25678	26088	27834	28106	28145	30040	29941	31509	31750	33453
PCPI38003	Barnes County, ND	38003	25824	27848	28252	29625	29510	34898	41173	37515	45297	45546	53551	50029	48527	47989	52510	48674
PCPI25001	Barnstable County, MA	25001	40014	41284	44557	45136	47450	48863	50285	50527	52399	55229	58165	59070	61979	65272	67512	70430
PCPI45011	Barnwell County, SC	45011	20363	20858	21726	22577	23799	24596	25700	26506	26811	28272	28240	28664	29966	30750	31418	32428
PCPI21009	Barren County, KY	21009	24257	24070	25672	25789	26212	27229	28358	27155	28545	30119	31718	31629	33602	34859	34245	35184
PCPI55005	Barron County, WI	55005	26721	27503	28283	29321	30928	33164	34221	35406	35761	38353	42014	40534	42793	44626	44380	46214
PCPI13013	Barrow County, GA	13013	23071	23408	24941	25953	27027	27382	28205	26965	26316	28231	29518	30300	32175	33479	34213	35164
PCPI26015	Barry County, MI	26015	28341	28428	28941	29334	30604	31135	32624	30813	32388	35203	36575	37446	38962	40640	41859	42745
